,Station,January,February,March,April,May,June,July,August,September,October,November,December,Mean,Year,Line
0,Jabaquara,46,48,40,39,45,46,48,51,55,57,61,59,50,2021,1_Blue
1,Conceição ,15,16,12,12,14,15,15,16,18,19,20,19,16,2021,1_Blue
2,São Judas ,9,9,7,7,8,9,9,10,10,11,12,11,9,2021,1_Blue
3,Saúde ,16,17,13,13,15,16,16,18,19,20,21,20,17,2021,1_Blue
4,Praça da Árvore ,9,10,8,8,9,9,10,11,11,12,13,12,10,2021,1_Blue
5,Santa Cruz,60,65,52,50,58,61,63,68,72,76,81,77,65,2021,1_Blue
6,Vila Mariana ,10,10,8,8,9,10,10,11,13,13,14,12,11,2021,1_Blue
7,Ana Rosa¹,40,43,35,33,39,41,42,47,51,53,57,53,45,2021,1_Blue
8,Paraíso¹,49,53,43,42,48,50,52,58,62,65,69,65,55,2021,1_Blue
9,Vergueiro ,15,17,14,13,15,16,15,17,18,19,20,18,16,2021,1_Blue
10,São Joaquim ,12,14,12,11,13,14,13,15,17,18,18,15,14,2021,1_Blue
11,Japão-Liberdade ,12,12,9,9,11,12,12,13,14,15,16,16,13,2021,1_Blue
12,Sé2,119,125,100,96,111,116,119,127,136,142,151,144,124,2021,1_Blue
13,São Bento,36,36,23,23,31,33,36,36,39,43,46,48,36,2021,1_Blue
14,Luz,70,74,57,58,68,69,69,74,89,96,106,99,77,2021,1_Blue
15,Tiradentes ,7,9,7,7,8,8,8,9,10,10,11,10,9,2021,1_Blue
16,Armênia ,14,15,12,12,14,14,15,15,16,17,18,16,15,2021,1_Blue
17,Portuguesa-Tietê ,31,29,23,22,26,27,29,31,34,36,41,41,31,2021,1_Blue
18,Carandiru ,6,6,5,5,6,6,6,7,7,8,9,8,7,2021,1_Blue
19,Santana ,33,35,28,27,32,32,33,36,39,40,43,40,35,2021,1_Blue
20,Jardim São Paulo-Ayrton Senna,6,6,5,4,5,6,6,7,7,8,9,8,6,2021,1_Blue
21,Parada Inglesa ,7,7,6,5,6,7,7,8,8,9,9,9,7,2021,1_Blue
22,Tucuruvi ,36,37,30,29,34,35,36,40,42,44,47,45,38,2021,1_Blue
23,Vila Prudente¹,40,43,36,35,40,40,44,49,53,54,58,54,46,2021,2_Green
24,Tamanduateí,36,36,35,36,40,43,43,47,50,53,50,53,44,2021,2_Green
25,Sacomã,23,25,21,20,23,24,25,27,29,30,32,30,26,2021,2_Green
26,Alto do Ipiranga ,9,10,8,8,9,9,10,11,12,13,14,13,11,2021,2_Green
27,Santos-Imigrantes ,8,8,7,7,8,8,8,9,10,10,11,10,9,2021,2_Green
28,Chácara Klabin ,40,43,37,35,40,43,43,48,51,54,58,54,46,2021,2_Green
29,Ana Rosa²,36,39,30,29,35,36,37,40,44,46,50,47,39,2021,2_Green
30,Paraíso²,38,40,32,31,36,37,38,41,45,47,51,48,40,2021,2_Green
31,Brigadeiro ,25,26,20,19,23,24,25,28,30,32,35,33,27,2021,2_Green
32,Trianon-Masp ,21,22,17,16,19,20,21,24,26,28,30,29,23,2021,2_Green
33,Consolação,49,53,40,38,44,47,50,55,60,64,70,65,53,2021,2_Green
34,Clínicas ,13,14,12,12,13,13,13,14,15,15,16,15,14,2021,2_Green
35,Santuário N.S. de Fátima-Sumaré ,5,5,4,4,4,5,5,5,6,6,7,6,5,2021,2_Green
36,Vila Madalena,10,11,9,8,9,10,10,12,13,13,15,13,11,2021,2_Green
37,Corinthians-Itaquera,54,56,46,45,52,53,53,58,60,62,66,66,56,2021,3_Red
38,Artur Alvim,37,39,32,32,36,37,38,41,43,45,48,45,39,2021,3_Red
39,Patriarca ,13,14,11,11,13,13,14,15,16,16,18,17,14,2021,3_Red
40,Guilhermina-Esperança ,13,13,11,11,12,13,13,14,15,16,17,16,14,2021,3_Red
41,Vila Matilde ,16,17,14,13,15,16,16,18,19,20,21,20,17,2021,3_Red
42,Penha ,18,19,15,15,17,18,18,20,22,22,24,22,19,2021,3_Red
43,Carrão ,26,28,23,22,25,26,27,30,32,33,36,32,28,2021,3_Red
44,Tatuapé,50,52,41,40,47,49,51,53,57,61,64,65,53,2021,3_Red
45,Belém ,25,27,23,22,24,25,25,27,28,29,31,29,26,2021,3_Red
46,Bresser-Moóca ,19,21,17,16,19,19,20,21,23,24,26,23,21,2021,3_Red
47,Brás,66,70,57,55,64,65,67,69,73,75,79,81,68,2021,3_Red
48,Pedro II ,13,14,12,11,12,13,13,14,14,15,16,14,13,2021,3_Red
49,Sé¹,123,129,101,98,116,121,124,135,146,155,166,157,131,2021,3_Red
