month,line,station,dpea
2021-01-01,1,Parada Inglesa ,7000.0
2021-01-01,1,Jardim São Paulo-Ayrton Senna,6000.0
2021-01-01,1,Santana ,33000.0
2021-01-01,1,Carandiru ,6000.0
2021-01-01,1,Portuguesa-Tietê ,31000.0
2021-01-01,1,Armênia ,14000.0
2021-01-01,1,Tiradentes ,7000.0
2021-01-01,1,Luz,70000.0
2021-01-01,1,São Bento,36000.0
2021-01-01,1,Sé,119000.0
2021-01-01,1,Japão-Liberdade ,12000.0
2021-01-01,1,São Joaquim ,12000.0
2021-01-01,1,Tucuruvi ,36000.0
2021-01-01,1,Paraíso,49000.0
2021-01-01,1,Jabaquara,46000.0
2021-01-01,1,Conceição ,15000.0
2021-01-01,1,São Judas ,9000.0
2021-01-01,1,Saúde ,16000.0
2021-01-01,1,Vergueiro ,15000.0
2021-01-01,1,Santa Cruz,60000.0
2021-01-01,1,Vila Mariana ,10000.0
2021-01-01,1,Ana Rosa,40000.0
2021-01-01,1,Praça da Árvore ,9000.0
2021-02-01,1,Tiradentes ,9000.0
2021-02-01,1,Jabaquara,48000.0
2021-02-01,1,Tucuruvi ,37000.0
2021-02-01,1,Parada Inglesa ,7000.0
2021-02-01,1,Jardim São Paulo-Ayrton Senna,6000.0
2021-02-01,1,Santana ,35000.0
2021-02-01,1,Carandiru ,6000.0
2021-02-01,1,Portuguesa-Tietê ,29000.0
2021-02-01,1,Armênia ,15000.0
2021-02-01,1,Luz,74000.0
2021-02-01,1,São Bento,36000.0
2021-02-01,1,São Judas ,9000.0
2021-02-01,1,Japão-Liberdade ,12000.0
2021-02-01,1,São Joaquim ,14000.0
2021-02-01,1,Vergueiro ,17000.0
2021-02-01,1,Paraíso,53000.0
2021-02-01,1,Ana Rosa,43000.0
2021-02-01,1,Vila Mariana ,10000.0
2021-02-01,1,Santa Cruz,65000.0
2021-02-01,1,Praça da Árvore ,10000.0
2021-02-01,1,Saúde ,17000.0
2021-02-01,1,Sé,125000.0
2021-02-01,1,Conceição ,16000.0
2021-03-01,1,Tiradentes ,7000.0
2021-03-01,1,Armênia ,12000.0
2021-03-01,1,Portuguesa-Tietê ,23000.0
2021-03-01,1,Luz,57000.0
2021-03-01,1,Santana ,28000.0
2021-03-01,1,Jardim São Paulo-Ayrton Senna,5000.0
2021-03-01,1,Parada Inglesa ,6000.0
2021-03-01,1,Tucuruvi ,30000.0
2021-03-01,1,Carandiru ,5000.0
2021-03-01,1,São Bento,23000.0
2021-03-01,1,Ana Rosa,35000.0
2021-03-01,1,Japão-Liberdade ,9000.0
2021-03-01,1,Sé,100000.0
2021-03-01,1,Jabaquara,40000.0
2021-03-01,1,São Judas ,7000.0
2021-03-01,1,Saúde ,13000.0
2021-03-01,1,Praça da Árvore ,8000.0
2021-03-01,1,Conceição ,12000.0
2021-03-01,1,Vila Mariana ,8000.0
2021-03-01,1,Paraíso,43000.0
2021-03-01,1,Vergueiro ,14000.0
2021-03-01,1,São Joaquim ,12000.0
2021-03-01,1,Santa Cruz,52000.0
2021-04-01,1,Parada Inglesa ,5000.0
2021-04-01,1,Jardim São Paulo-Ayrton Senna,4000.0
2021-04-01,1,Santana ,27000.0
2021-04-01,1,Carandiru ,5000.0
2021-04-01,1,Portuguesa-Tietê ,22000.0
2021-04-01,1,Armênia ,12000.0
2021-04-01,1,Tiradentes ,7000.0
2021-04-01,1,Luz,58000.0
2021-04-01,1,São Bento,23000.0
2021-04-01,1,Sé,96000.0
2021-04-01,1,São Joaquim ,11000.0
2021-04-01,1,Vergueiro ,13000.0
2021-04-01,1,Paraíso,42000.0
2021-04-01,1,Ana Rosa,33000.0
2021-04-01,1,Praça da Árvore ,8000.0
2021-04-01,1,Saúde ,13000.0
2021-04-01,1,São Judas ,7000.0
2021-04-01,1,Conceição ,12000.0
2021-04-01,1,Jabaquara,39000.0
2021-04-01,1,Tucuruvi ,29000.0
2021-04-01,1,Japão-Liberdade ,9000.0
2021-04-01,1,Vila Mariana ,8000.0
2021-04-01,1,Santa Cruz,50000.0
2021-05-01,1,São Joaquim ,13000.0
2021-05-01,1,Parada Inglesa ,6000.0
2021-05-01,1,Jardim São Paulo-Ayrton Senna,5000.0
2021-05-01,1,Santana ,32000.0
2021-05-01,1,Carandiru ,6000.0
2021-05-01,1,Portuguesa-Tietê ,26000.0
2021-05-01,1,Armênia ,14000.0
2021-05-01,1,Tiradentes ,8000.0
2021-05-01,1,Luz,68000.0
2021-05-01,1,São Bento,31000.0
2021-05-01,1,Sé,111000.0
2021-05-01,1,Tucuruvi ,34000.0
2021-05-01,1,Vergueiro ,15000.0
2021-05-01,1,Paraíso,48000.0
2021-05-01,1,Ana Rosa,39000.0
2021-05-01,1,Vila Mariana ,9000.0
2021-05-01,1,Santa Cruz,58000.0
2021-05-01,1,Praça da Árvore ,9000.0
2021-05-01,1,Saúde ,15000.0
2021-05-01,1,São Judas ,8000.0
2021-05-01,1,Conceição ,14000.0
2021-05-01,1,Jabaquara,45000.0
2021-05-01,1,Japão-Liberdade ,11000.0
2021-06-01,1,São Bento,33000.0
2021-06-01,1,Luz,69000.0
2021-06-01,1,Tiradentes ,8000.0
2021-06-01,1,Jardim São Paulo-Ayrton Senna,6000.0
2021-06-01,1,Portuguesa-Tietê ,27000.0
2021-06-01,1,Carandiru ,6000.0
2021-06-01,1,Santana ,32000.0
2021-06-01,1,Sé,116000.0
2021-06-01,1,Armênia ,14000.0
2021-06-01,1,Japão-Liberdade ,12000.0
2021-06-01,1,Santa Cruz,61000.0
2021-06-01,1,Vergueiro ,16000.0
2021-06-01,1,Paraíso,50000.0
2021-06-01,1,Ana Rosa,41000.0
2021-06-01,1,Vila Mariana ,10000.0
2021-06-01,1,Praça da Árvore ,9000.0
2021-06-01,1,Saúde ,16000.0
2021-06-01,1,São Judas ,9000.0
2021-06-01,1,Conceição ,15000.0
2021-06-01,1,Jabaquara,46000.0
2021-06-01,1,Parada Inglesa ,7000.0
2021-06-01,1,São Joaquim ,14000.0
2021-06-01,1,Tucuruvi ,35000.0
2021-07-01,1,São Joaquim ,13000.0
2021-07-01,1,Conceição ,15000.0
2021-07-01,1,Tucuruvi ,36000.0
2021-07-01,1,Parada Inglesa ,7000.0
2021-07-01,1,Jardim São Paulo-Ayrton Senna,6000.0
2021-07-01,1,Santana ,33000.0
2021-07-01,1,Carandiru ,6000.0
2021-07-01,1,Armênia ,15000.0
2021-07-01,1,Tiradentes ,8000.0
2021-07-01,1,Luz,69000.0
2021-07-01,1,São Bento,36000.0
2021-07-01,1,Sé,119000.0
2021-07-01,1,Portuguesa-Tietê ,29000.0
2021-07-01,1,Jabaquara,48000.0
2021-07-01,1,Vergueiro ,15000.0
2021-07-01,1,Paraíso,52000.0
2021-07-01,1,Ana Rosa,42000.0
2021-07-01,1,Vila Mariana ,10000.0
2021-07-01,1,Santa Cruz,63000.0
2021-07-01,1,Praça da Árvore ,10000.0
2021-07-01,1,Saúde ,16000.0
2021-07-01,1,São Judas ,9000.0
2021-07-01,1,Japão-Liberdade ,12000.0
2021-08-01,1,Sé,127000.0
2021-08-01,1,São Bento,36000.0
2021-08-01,1,Luz,74000.0
2021-08-01,1,Tiradentes ,9000.0
2021-08-01,1,Jardim São Paulo-Ayrton Senna,7000.0
2021-08-01,1,Portuguesa-Tietê ,31000.0
2021-08-01,1,Carandiru ,7000.0
2021-08-01,1,Santana ,36000.0
2021-08-01,1,Japão-Liberdade ,13000.0
2021-08-01,1,Armênia ,15000.0
2021-08-01,1,Tucuruvi ,40000.0
2021-08-01,1,Parada Inglesa ,8000.0
2021-08-01,1,Vergueiro ,17000.0
2021-08-01,1,Jabaquara,51000.0
2021-08-01,1,Conceição ,16000.0
2021-08-01,1,São Judas ,10000.0
2021-08-01,1,Saúde ,18000.0
2021-08-01,1,São Joaquim ,15000.0
2021-08-01,1,Santa Cruz,68000.0
2021-08-01,1,Vila Mariana ,11000.0
2021-08-01,1,Ana Rosa,47000.0
2021-08-01,1,Paraíso,58000.0
2021-08-01,1,Praça da Árvore ,11000.0
2021-09-01,1,Jabaquara,55000.0
2021-09-01,1,Tucuruvi ,42000.0
2021-09-01,1,Parada Inglesa ,8000.0
2021-09-01,1,Jardim São Paulo-Ayrton Senna,7000.0
2021-09-01,1,Santana ,39000.0
2021-09-01,1,Carandiru ,7000.0
2021-09-01,1,Portuguesa-Tietê ,34000.0
2021-09-01,1,Armênia ,16000.0
2021-09-01,1,Tiradentes ,10000.0
2021-09-01,1,São Bento,39000.0
2021-09-01,1,Luz,89000.0
2021-09-01,1,Japão-Liberdade ,14000.0
2021-09-01,1,São Joaquim ,17000.0
2021-09-01,1,Vergueiro ,18000.0
2021-09-01,1,Paraíso,62000.0
2021-09-01,1,Ana Rosa,51000.0
2021-09-01,1,Vila Mariana ,13000.0
2021-09-01,1,Santa Cruz,72000.0
2021-09-01,1,Praça da Árvore ,11000.0
2021-09-01,1,Saúde ,19000.0
2021-09-01,1,São Judas ,10000.0
2021-09-01,1,Conceição ,18000.0
2021-09-01,1,Sé,136000.0
2021-10-01,1,Luz,96000.0
2021-10-01,1,Tiradentes ,10000.0
2021-10-01,1,Armênia ,17000.0
2021-10-01,1,Tucuruvi ,44000.0
2021-10-01,1,Carandiru ,8000.0
2021-10-01,1,Jardim São Paulo-Ayrton Senna,8000.0
2021-10-01,1,Parada Inglesa ,9000.0
2021-10-01,1,São Bento,43000.0
2021-10-01,1,Portuguesa-Tietê ,36000.0
2021-10-01,1,Sé,142000.0
2021-10-01,1,Santana ,40000.0
2021-10-01,1,São Joaquim ,18000.0
2021-10-01,1,Japão-Liberdade ,15000.0
2021-10-01,1,Jabaquara,57000.0
2021-10-01,1,Conceição ,19000.0
2021-10-01,1,São Judas ,11000.0
2021-10-01,1,Saúde ,20000.0
2021-10-01,1,Paraíso,65000.0
2021-10-01,1,Santa Cruz,76000.0
2021-10-01,1,Vila Mariana ,13000.0
2021-10-01,1,Ana Rosa,53000.0
2021-10-01,1,Vergueiro ,19000.0
2021-10-01,1,Praça da Árvore ,12000.0
2021-11-01,1,Tucuruvi ,47000.0
2021-11-01,1,Parada Inglesa ,9000.0
2021-11-01,1,Jardim São Paulo-Ayrton Senna,9000.0
2021-11-01,1,Santana ,43000.0
2021-11-01,1,Carandiru ,9000.0
2021-11-01,1,Portuguesa-Tietê ,41000.0
2021-11-01,1,Armênia ,18000.0
2021-11-01,1,Tiradentes ,11000.0
2021-11-01,1,Luz,106000.0
2021-11-01,1,São Bento,46000.0
2021-11-01,1,Japão-Liberdade ,16000.0
2021-11-01,1,São Joaquim ,18000.0
2021-11-01,1,Vergueiro ,20000.0
2021-11-01,1,Paraíso,69000.0
2021-11-01,1,Vila Mariana ,14000.0
2021-11-01,1,Santa Cruz,81000.0
2021-11-01,1,Praça da Árvore ,13000.0
2021-11-01,1,Saúde ,21000.0
2021-11-01,1,São Judas ,12000.0
2021-11-01,1,Conceição ,20000.0
2021-11-01,1,Jabaquara,61000.0
2021-11-01,1,Sé,151000.0
2021-11-01,1,Ana Rosa,57000.0
2021-12-01,1,Parada Inglesa ,9000.0
2021-12-01,1,Tucuruvi ,45000.0
2021-12-01,1,Jabaquara,59000.0
2021-12-01,1,Jardim São Paulo-Ayrton Senna,8000.0
2021-12-01,1,Santana ,40000.0
2021-12-01,1,Carandiru ,8000.0
2021-12-01,1,Portuguesa-Tietê ,41000.0
2021-12-01,1,Armênia ,16000.0
2021-12-01,1,Luz,99000.0
2021-12-01,1,São Bento,48000.0
2021-12-01,1,Sé,144000.0
2021-12-01,1,Japão-Liberdade ,16000.0
2021-12-01,1,Tiradentes ,10000.0
2021-12-01,1,Vergueiro ,18000.0
2021-12-01,1,Paraíso,65000.0
2021-12-01,1,Ana Rosa,53000.0
2021-12-01,1,Vila Mariana ,12000.0
2021-12-01,1,Santa Cruz,77000.0
2021-12-01,1,Praça da Árvore ,12000.0
2021-12-01,1,Saúde ,20000.0
2021-12-01,1,São Judas ,11000.0
2021-12-01,1,Conceição ,19000.0
2021-12-01,1,São Joaquim ,15000.0
2022-01-01,1,São Bento,38000.0
2022-01-01,1,Luz,86000.0
2022-01-01,1,Tiradentes ,8000.0
2022-01-01,1,Armênia ,15000.0
2022-01-01,1,Tucuruvi ,39000.0
2022-01-01,1,Santana ,35000.0
2022-01-01,1,Jardim São Paulo-Ayrton Senna,7000.0
